1,Why don't scientists trust atoms?,Because they make up everything.
3,What did the left eye say to the right eye?,Between you and me something smells.
7,Why don't skeletons fight each other?, They don't have the guts.
8,What do you call fake spaghetti?, An impasta.
9,Why don't eggs tell jokes?, Because they might crack up.
10,What do you get when you cross a snowman and a vampire?, Frostbite.
11,Why don't some couples go to the gym?, Because some relationships don't work out.
12,How does a penguin build its house?, Igloos it together.
13,What do you call a bear with no teeth?, A gummy bear.
14,Why don't vampires go to barbecues?, They don't like stakes.
15,Why did the golfer bring two pairs of pants?, In case he got a hole in one.
16,What did the ocean say to the shore?, Nothing. It just waved.
17,Why did the math book look sad?, Because it had too many problems.
18,Why was the belt arrested?, It was holding up a pair of pants.
19,What do you call a pile of cats?, A meowtain.
53,What did the grape say when it got stepped on?, Nothing. It just let out a little wine.
64,Why did the tomato turn red?, Because it saw the salad dressing.
65,What did one wall say to the other wall?, I'll meet you at the corner.
93,Why did the bicycle fall over?, Because it was two-tired.
9,Why did the scarecrow win an award?,Because he was outstanding in his field!
11,Why don't oysters donate to charity?,Because they are shellfish!
18,How do you organize a space party?,You planet!